City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,magole,-6.3667,37.3667,69.8,88,43,3.13,TZ,1696035925
298,viedma,-40.8135,-62.9967,40.1,78,0,5.39,AR,1696035925
299,serchhip,23.3,92.8333,68.56,97,100,0.98,IN,1696035925
300,muisne,0.6,-80.0333,76.78,81,100,6.93,EC,1696035925
301,yaren,-0.5472,166.916,83.73,75,54,10.94,NR,1696035925
302,north bend,43.4065,-124.2243,59.25,97,100,16.11,US,1696035925
303,makueni boma,-1.8041,37.6203,63.66,91,78,3.76,KE,1696035925
304,auki,-8.7676,160.7034,84.63,73,100,5.59,SB,1696035927
305,vila velha,-20.3297,-40.2925,71.55,91,100,10.36,BR,1696035649
306,sohagpur,22.7,78.2,75.04,86,99,2.66,IN,1696035927
307,heroica caborca,30.7167,-112.15,90.19,11,0,15.21,MX,1696035658
308,touros,-5.1989,-35.4608,77.27,73,33,16.84,BR,1696035927
309,surab,28.4914,66.2585,52.03,22,0,8.19,PK,1696035927
310,donaghadee,54.6333,-5.5333,51.58,92,100,1.01,GB,1696035927
311,lae,-6.7221,146.9847,81.27,65,89,6.46,PG,1696035927
312,yantarnyy,54.8717,19.9381,64.26,79,100,12.06,RU,1696035927
313,khovd,48.0056,91.6419,40.24,58,99,4.76,MN,1696035927
314,san juan,-31.5375,-68.5364,59.86,24,0,7.25,AR,1696035845
315,bima,-8.4667,118.7167,89.19,42,73,3.36,ID,1696035702
316,carutapera,-1.195,-46.02,77.88,82,7,7.36,BR,1696035928
317,zwedru,6.0667,-8.1281,73.45,100,89,3.53,LR,1696035928
318,veraval,20.9,70.3667,80.69,76,71,8.52,IN,1696035928
319,bouna,9.2667,-3.0,73.4,92,100,3.98,CI,1696035928
320,daru,-9.0763,143.2092,78.37,79,94,17.34,PG,1696035928
321,gornopravdinsk,60.05,69.9,29.28,89,6,5.41,RU,1696035928
322,sant lluis,39.8526,4.2594,70.2,100,0,6.91,ES,1696035928
323,nemuro,43.3236,145.575,63.59,72,100,11.83,JP,1696035928
324,lauro de freitas,-12.8944,-38.3272,78.82,78,0,4.61,BR,1696035723
325,bullhead city,35.1478,-114.5683,97.09,15,0,19.57,US,1696035928
326,tamandare,-8.7597,-35.1047,78.28,74,100,9.78,BR,1696035929
327,xining,36.6167,101.7667,52.57,73,100,1.05,CN,1696035929
328,fort drum,44.0584,-75.7619,64.11,87,20,8.05,US,1696035929
329,kalevala,65.2,31.1667,56.19,87,100,8.84,RU,1696035929
330,bria,6.5423,21.9863,70.12,96,100,1.23,CF,1696035929
331,tabou,4.423,-7.3528,76.98,90,34,6.73,CI,1696035929
332,sanandaj,35.3144,46.9923,50.02,46,0,0.0,IR,1696035929
333,matthew town,20.95,-73.6667,84.76,74,2,14.83,BS,1696035929
334,zhangzhou,24.5133,117.6556,85.93,77,0,1.39,CN,1696035929
335,oriximina,-1.7656,-55.8661,83.25,49,43,4.07,BR,1696035929
336,coquimbo,-29.9533,-71.3436,55.13,87,20,8.05,CL,1696035639
337,chopan,24.5167,83.0333,82.0,75,100,1.68,IN,1696035930
338,sisimiut,66.9395,-53.6735,33.87,82,38,6.15,GL,1696035930
339,constantia,44.1833,28.65,65.08,62,64,15.55,RO,1696035918
340,alamosa,37.4695,-105.87,66.18,16,0,13.8,US,1696035930
341,yatou,37.15,122.3833,70.92,64,1,9.13,CN,1696035884
342,sampit,-2.5333,112.95,84.88,54,98,4.92,ID,1696035930
343,vilhena,-12.7406,-60.1458,71.73,94,99,3.94,BR,1696035810
344,kone,-21.0595,164.8658,79.21,42,0,10.07,NC,1696035930
345,sonoita,31.85,-112.8333,85.44,18,2,12.97,MX,1696035930
346,nioki,-2.7167,17.6833,75.4,81,93,2.46,CD,1696035930
347,aoulef,26.9667,1.0833,83.93,27,0,23.4,DZ,1696035931
348,atafu village,-8.5421,-172.5159,83.73,70,64,8.61,TK,1696035931
349,kimhae,35.2342,128.8811,64.35,77,100,10.36,KR,1696035931
350,carauari,-4.8828,-66.8958,78.42,80,8,3.09,BR,1696035920
351,gunjur,13.2019,-16.7339,80.67,94,75,0.0,GM,1696035931
352,thomaston,32.8882,-84.3266,72.91,77,0,0.0,US,1696035709
353,khirkiyan,22.1667,76.85,74.5,83,55,3.44,IN,1696035931
354,kavieng,-2.5744,150.7967,83.53,71,100,2.62,PG,1696035931
355,pudasjarvi,65.3833,26.9167,52.41,97,100,7.05,FI,1696035932
356,hotan,37.0997,79.9269,56.43,42,0,8.46,CN,1696035932
357,armacao de buzios,-22.7469,-41.8817,68.05,78,97,12.77,BR,1696035932
358,nosy varika,-20.5833,48.5333,66.92,88,47,6.29,MG,1696035932
359,cabo san lucas,22.8909,-109.9124,90.61,60,20,11.5,MX,1696035932
360,sept-iles,50.2001,-66.3821,57.2,84,20,3.44,CA,1696035932
361,bel ombre,-4.6167,55.4167,78.64,83,75,14.97,SC,1696035932
